"job","type","term","mcse_se","arithmetic"
"onset_symptoms","RR","cancer_and_pain_vs_neither",0.000345028268160728,"PASS"
"onset_symptoms","RR","cancer_and_pain_vs_cancer_only",0.000274577946191347,"PASS"
"onset_symptoms","RR","pain_only_vs_neither",0.000521510339129979,"PASS"
"onset_symptoms","RR","cancer_only_vs_neither",0.000239358574096838,"PASS"
"onset_symptoms","RR","pain_only_vs_cancer_only",0.000332881033702285,"PASS"
"onset_symptoms","risks","neither",0.000320606186059899,"PASS"
"onset_symptoms","risks","cancer_only",0.000225923101566509,"PASS"
"onset_symptoms","risks","pain_only",0.000423684572042139,"PASS"
"onset_symptoms","risks","cancer_and_pain",0.000333776995552371,"PASS"
"onset_symptoms","risk_differences","cancer_and_pain_vs_neither",0.000342490968021915,"PASS"
"onset_symptoms","risk_differences","cancer_and_pain_vs_cancer_only",0.000295572080981764,"PASS"
"onset_symptoms","risk_differences","pain_only_vs_neither",0.000521489913946987,"PASS"
"onset_symptoms","risk_differences","cancer_only_vs_neither",0.000237003509945715,"PASS"
"onset_symptoms","risk_differences","pain_only_vs_cancer_only",0.000363018800204997,"PASS"
"onset_composite","RR","cancer_and_pain_vs_neither",0.000778367234638501,"PASS"
"onset_composite","RR","cancer_and_pain_vs_cancer_only",0.000500488590629707,"PASS"
"onset_composite","RR","pain_only_vs_neither",0.000652499956339581,"PASS"
"onset_composite","RR","cancer_only_vs_neither",0.000446338270625101,"PASS"
"onset_composite","RR","pain_only_vs_cancer_only",0.000476721631832527,"PASS"
"onset_composite","risks","neither",0.000452167898385645,"PASS"
"onset_composite","risks","cancer_only",0.000367771481565606,"PASS"
"onset_composite","risks","pain_only",0.000459616909472405,"PASS"
"onset_composite","risks","cancer_and_pain",0.000706276526282066,"PASS"
"onset_composite","risk_differences","cancer_and_pain_vs_neither",0.000768659888666222,"PASS"
"onset_composite","risk_differences","cancer_and_pain_vs_cancer_only",0.000520864256647252,"PASS"
"onset_composite","risk_differences","pain_only_vs_neither",0.000636592358530219,"PASS"
"onset_composite","risk_differences","cancer_only_vs_neither",0.000423420136782243,"PASS"
"onset_composite","risk_differences","pain_only_vs_cancer_only",0.000472269155231649,"PASS"
"persistence_symptoms","RR","cancer_and_pain_vs_neither",0.000276590102875006,"PASS"
"persistence_symptoms","RR","cancer_and_pain_vs_cancer_only",0.000169608728977404,"PASS"
"persistence_symptoms","RR","pain_only_vs_neither",0.000760404956312467,"PASS"
"persistence_symptoms","RR","cancer_only_vs_neither",0.000136492492658156,"PASS"
"persistence_symptoms","RR","pain_only_vs_cancer_only",0.00048565331511974,"PASS"
"persistence_symptoms","risks","neither",0.000485030249868444,"PASS"
"persistence_symptoms","risks","cancer_only",0.000319675517525357,"PASS"
"persistence_symptoms","risks","pain_only",0.000735089635092352,"PASS"
"persistence_symptoms","risks","cancer_and_pain",0.000686349003619173,"PASS"
"persistence_symptoms","risk_differences","cancer_and_pain_vs_neither",0.0003335203519178,"PASS"
"persistence_symptoms","risk_differences","cancer_and_pain_vs_cancer_only",0.000177923145612622,"PASS"
"persistence_symptoms","risk_differences","pain_only_vs_neither",0.000795641290832079,"PASS"
"persistence_symptoms","risk_differences","cancer_only_vs_neither",0.000156205804608792,"PASS"
"persistence_symptoms","risk_differences","pain_only_vs_cancer_only",0.000498414176168609,"PASS"
"persistence_composite","RR","cancer_and_pain_vs_neither",0.00043734309512854,"PASS"
"persistence_composite","RR","cancer_and_pain_vs_cancer_only",0.000381728425196181,"PASS"
"persistence_composite","RR","pain_only_vs_neither",0.000693290121849272,"PASS"
"persistence_composite","RR","cancer_only_vs_neither",0.000262942899323287,"PASS"
"persistence_composite","RR","pain_only_vs_cancer_only",0.00043594163871715,"PASS"
"persistence_composite","risks","neither",0.000488352517491965,"PASS"
"persistence_composite","risks","cancer_only",0.000299575503070343,"PASS"
"persistence_composite","risks","pain_only",0.000593126376599772,"PASS"
"persistence_composite","risks","cancer_and_pain",0.000712936221350722,"PASS"
"persistence_composite","risk_differences","cancer_and_pain_vs_neither",0.000478827990043739,"PASS"
"persistence_composite","risk_differences","cancer_and_pain_vs_cancer_only",0.000388329862999008,"PASS"
"persistence_composite","risk_differences","pain_only_vs_neither",0.000712706472919334,"PASS"
"persistence_composite","risk_differences","cancer_only_vs_neither",0.000253976353893814,"PASS"
"persistence_composite","risk_differences","pain_only_vs_cancer_only",0.000433740805855918,"PASS"
