cohort,estimand,scenario,adjustment,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value
HRS,onset,function_adjustment_sequence,core,cancer_and_pain_vs_neither,58132,18934,4853,0.387786548689398,0.0724767746105143,1.47371518427591,1.27856030185929,1.69865781160816,8.77144544022055e-08
HRS,onset,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,58132,18934,4853,0.299399601119942,0.0868457300359817,1.34904859710877,1.13790072786651,1.59937688129736,0.000565825808199591
HRS,onset,function_adjustment_sequence,core,pain_only_vs_neither,58132,18934,4853,0.395981802035939,0.0452240472942342,1.48584227800098,1.35980906716831,1.62355681279031,2.02299975261188e-18
HRS,onset,function_adjustment_sequence,core,cancer_only_vs_neither,58132,18934,4853,0.0883869475694555,0.0714420877936922,1.09241074593926,0.949673562853669,1.25660151500654,0.216019093818296
HRS,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,58089,18925,4846,0.323301512588549,0.0745644316194136,1.38168188258867,1.19381959678703,1.59910662365709,1.45186235370893e-05
HRS,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_cancer_only,58089,18925,4846,0.235625526863824,0.086368102379481,1.26570025066882,1.06859762369852,1.49915841942306,0.00636897706239241
HRS,onset,function_adjustment_sequence,mobility,pain_only_vs_neither,58089,18925,4846,0.345389187451825,0.0478235892540793,1.41253955537522,1.28615439239298,1.5513440744756,5.11715693684312e-13
HRS,onset,function_adjustment_sequence,mobility,cancer_only_vs_neither,58089,18925,4846,0.0876759857247249,0.0717383392923342,1.09163435960336,0.948447752375755,1.25643776589871,0.221645772674697
HRS,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_neither,58089,18925,4846,0.323589599128615,0.0744745943326876,1.38207998388276,1.19437385395106,1.59928574753248,1.39297075819633e-05
HRS,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_cancer_only,58089,18925,4846,0.2360765498572,0.0864267177809613,1.26627123933942,1.06895688132388,1.50000704386913,0.00630423794247384
HRS,onset,function_adjustment_sequence,mobility_adl,pain_only_vs_neither,58089,18925,4846,0.345749670017343,0.047719909672961,1.41304884304719,1.28687959017925,1.55158808024834,4.31175704829965e-13
HRS,onset,function_adjustment_sequence,mobility_adl,cancer_only_vs_neither,58089,18925,4846,0.0875130492714148,0.0718086645202415,1.09145650706222,0.948162529344154,1.25640622777244,0.222958977797951
SHARE,onset,function_adjustment_sequence,core,cancer_and_pain_vs_neither,62160,50982,10269,0.29088846372769,0.0657418592423841,1.33761538299593,1.17590349888235,1.52156611025303,9.65732720697632e-06
SHARE,onset,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,62160,50982,10269,0.139296746840465,0.0921429883127269,1.14946514954977,0.959541040471602,1.37698136327768,0.130598621801036
SHARE,onset,function_adjustment_sequence,core,pain_only_vs_neither,62160,50982,10269,0.240251374230364,0.0436499431323698,1.27156874976602,1.16730661637696,1.38514342564076,3.71168805279655e-08
SHARE,onset,function_adjustment_sequence,core,cancer_only_vs_neither,62160,50982,10269,0.151591716887225,0.0790626408474794,1.16368502648371,0.996637454365272,1.35873163800052,0.0551919363129345
SHARE,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,61227,50241,9890,0.199958771766934,0.07210365064452,1.22135240292062,1.06039153583306,1.40674613264249,0.00555057994314488
SHARE,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_cancer_only,61227,50241,9890,0.0616024307723936,0.0954304614261807,1.06353943011493,0.882110597671682,1.28228378889761,0.518589180286
SHARE,onset,function_adjustment_sequence,mobility,pain_only_vs_neither,61227,50241,9890,0.16226396314614,0.052130340150139,1.17617066605826,1.06193251324475,1.30269807020882,0.00185410222135266
SHARE,onset,function_adjustment_sequence,mobility,cancer_only_vs_neither,61227,50241,9890,0.138356340994541,0.0804251465998541,1.14838469391647,0.980910507083684,1.34445231822673,0.0853757519139805
SHARE,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_neither,61213,50232,9889,0.199614355299518,0.0722385915405103,1.22093182147229,1.05974606445147,1.40663368583041,0.00572263237887615
SHARE,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_cancer_only,61213,50232,9889,0.0615860181265238,0.0954503797161034,1.06352197476214,0.882061684427925,1.28231280280078,0.518787857555397
SHARE,onset,function_adjustment_sequence,mobility_adl,pain_only_vs_neither,61213,50232,9889,0.162559776025042,0.0523353428511632,1.1765186439547,1.06181997025757,1.30360716349802,0.0018956074164836
SHARE,onset,function_adjustment_sequence,mobility_adl,cancer_only_vs_neither,61213,50232,9889,0.138028337172994,0.0804560491229,1.14800808111685,0.980529427109001,1.34409281136556,0.0862399696759643
CHARLS,onset,function_adjustment_sequence,core,cancer_and_pain_vs_neither,15227,9791,3519,0.469059648972591,0.196593281614955,1.59849034421771,1.08735038489139,2.34990617197646,0.0170355596987963
CHARLS,onset,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,15227,9791,3519,0.728948967342713,0.294336298868446,2.0729007759268,1.16423057970053,3.69077887298167,0.0132645903820734
CHARLS,onset,function_adjustment_sequence,core,pain_only_vs_neither,15227,9791,3519,0.314497695363922,0.0397637260273311,1.36957119618856,1.26688638448775,1.48057890936115,2.59130137004357e-15
CHARLS,onset,function_adjustment_sequence,core,cancer_only_vs_neither,15227,9791,3519,-0.259889318370121,0.250372068368751,0.771136931772832,0.472078707033921,1.25964623840001,0.299264269548978
CHARLS,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,15115,9728,3469,0.455167936200118,0.209939282459621,1.57643810182998,1.0446631653399,2.37890754776704,0.030151594138812
CHARLS,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_cancer_only,15115,9728,3469,0.71016823042518,0.298294940715192,2.0343334666451,1.133738852351,3.65032268668428,0.0172770320472704
CHARLS,onset,function_adjustment_sequence,mobility,pain_only_vs_neither,15115,9728,3469,0.259804974489385,0.0425314629352707,1.29667717687612,1.19296861951486,1.40940144906342,1.00549151705116e-09
CHARLS,onset,function_adjustment_sequence,mobility,cancer_only_vs_neither,15115,9728,3469,-0.255000294225063,0.250809827275874,0.774916269961259,0.473985512237253,1.26690628710629,0.309292479637939
CHARLS,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_neither,15059,9705,3453,0.464108823637261,0.209806895961628,1.59059605547017,1.05431879226746,2.39964973614492,0.0269614060558367
CHARLS,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_cancer_only,15059,9705,3453,0.701772090138808,0.298626064157402,2.01732442255123,1.12353027525243,3.62215234912769,0.018773269304959
CHARLS,onset,function_adjustment_sequence,mobility_adl,pain_only_vs_neither,15059,9705,3453,0.263974597564671,0.0427486822057741,1.30209511949371,1.19744332336914,1.41589306743889,6.61489254626285e-10
CHARLS,onset,function_adjustment_sequence,mobility_adl,cancer_only_vs_neither,15059,9705,3453,-0.237663266501547,0.251839728039023,0.788468150035383,0.481302136658449,1.29166686841739,0.345318680923609
HRS,persistence,function_adjustment_sequence,core,cancer_and_pain_vs_neither,10029,5649,5449,0.21742704643221,0.049375499493547,1.2428747540526,1.12823317338378,1.36916524943896,1.06498045970214e-05
HRS,persistence,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,10029,5649,5449,0.0818875144839632,0.0785142633128324,1.08533371863952,0.930533116170484,1.26588646910668,0.296965176510782
HRS,persistence,function_adjustment_sequence,core,pain_only_vs_neither,10029,5649,5449,0.211046020253563,0.0356969156453701,1.23496918734881,1.15151832160568,1.32446776146323,3.37642068031589e-09
HRS,persistence,function_adjustment_sequence,core,cancer_only_vs_neither,10029,5649,5449,0.135539531948247,0.0731520430437041,1.14515446512669,0.992194782333813,1.32169486511006,0.0639043141028806
HRS,persistence,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,10013,5645,5442,0.168433697479723,0.0493606573502514,1.18344975854195,1.07432073432937,1.30366406068415,0.000644156145185267
